x	y
0	1
0.82673	0.67728
1.6535	-0.082579
2.4802	-0.78914
3.3069	-0.98636
4.1337	-0.54695
4.9604	0.24549
5.7871	0.87947
6.6139	0.94582
7.4406	0.4017
8.2673	-0.4017
9.0941	-0.94582
9.9208	-0.87947
10.748	-0.24549
11.574	0.54695
12.401	0.98636
13.228	0.78914
14.054	0.082579
14.881	-0.67728
15.708	-1


z	spline	int_spline	cos(z)
10.437	-0.53454	-0.84937	0.83187
10.542	-0.44332	-0.90098	0.89864
10.648	-0.34506	-0.94259	0.96541
10.753	-0.23978	-0.97348	1.0277
10.859	-0.13238	-0.99308	1.0098
10.964	-0.026862	-1.0015	0.99194
11.069	0.076768	-0.99881	0.97405
11.175	0.17851	-0.98534	0.95616
11.28	0.27837	-0.96124	0.93826
11.386	0.37634	-0.92671	0.92037
11.491	0.47242	-0.88196	0.90248
11.596	0.56645	-0.82717	0.86919
11.702	0.65329	-0.7628	0.77818
11.807	0.73053	-0.68977	0.68718
11.913	0.79817	-0.6091	0.59617
12.018	0.85623	-0.52181	0.50516
12.124	0.90469	-0.42891	0.41415
12.229	0.94355	-0.3314	0.32314
12.334	0.97282	-0.2303	0.23214
12.44	0.99239	-0.12663	0.13583
12.545	1.0012	-0.021447	0.03045
12.651	0.99881	0.084071	-0.074933
12.756	0.98536	0.18876	-0.18032
12.862	0.96079	0.29144	-0.2857
12.967	0.92512	0.39095	-0.39108
13.072	0.87833	0.48611	-0.49646
13.178	0.82044	0.57575	-0.60185
13.283	0.75222	0.65872	-0.679
13.389	0.67791	0.73415	-0.73074
13.494	0.59815	0.80146	-0.78248
13.6	0.51293	0.86007	-0.83422
13.705	0.42226	0.90942	-0.88596
13.81	0.32613	0.94891	-0.9377
13.916	0.22455	0.97799	-0.98944
14.021	0.11751	0.99607	-1.0412
14.127	0.0071705	1.0026	-1.0334
14.232	-0.099909	0.9977	-0.99807
14.337	-0.20327	0.98169	-0.96277
14.443	-0.3029	0.95498	-0.92747
14.548	-0.39882	0.91795	-0.89217
14.654	-0.49101	0.87102	-0.85688
14.759	-0.57949	0.81456	-0.82158
14.865	-0.66424	0.74897	-0.78628
14.97	-0.74287	0.67471	-0.69687
15.075	-0.81109	0.5927	-0.59732
15.181	-0.86881	0.50406	-0.49777
15.286	-0.91604	0.40989	-0.39821
15.392	-0.95277	0.31129	-0.29866
15.497	-0.97901	0.20937	-0.19911
15.603	-0.99475	0.10524	-0.099553
15.708	-1	7.7716e-16	-1.2212e-15


z	cspline	cspline_int	cspline_deriv
0	0	0	0.92133
0.10542	0.09523	0.0050698	0.8673
0.21085	0.17907	0.019678	0.70519
0.31627	0.24012	0.042024	0.435
0.42169	0.26699	0.069105	0.056742
0.52711	0.24828	0.096716	-0.42959
0.63254	0.17529	0.11951	-0.93566
0.73796	0.055548	0.13203	-1.3143
0.84338	-0.097279	0.13006	-1.5634
0.9488	-0.26953	0.11084	-1.6828
1.0542	-0.44753	0.073032	-1.6725
1.1596	-0.6178	0.016754	-1.5401
1.2651	-0.76868	-0.056546	-1.3055
1.3705	-0.8895	-0.14426	-0.96978
1.4759	-0.9696	-0.24266	-0.53301
1.5813	-0.99833	-0.34689	0.0048358
1.6868	-0.96587	-0.45099	0.60262
1.7922	-0.87583	-0.54851	1.0825
1.8976	-0.74249	-0.63413	1.424
2.003	-0.58045	-0.70405	1.6271
2.1085	-0.40428	-0.75602	1.6918
2.2139	-0.22852	-0.78931	1.6231
2.3193	-0.065346	-0.80465	1.4575
2.4247	0.075655	-0.80387	1.2026
2.5301	0.18507	-0.7898	0.85825
2.6356	0.25347	-0.76629	0.42455
2.741	0.27156	-0.73813	-0.087454
2.8464	0.23864	-0.71084	-0.51381
2.9518	0.16816	-0.68914	-0.79991
3.0573	0.07491	-0.67619	-0.94575
3.1627	-0.026319	-0.67362	-0.95132
3.2681	-0.12075	-0.6815	-0.81778
3.3735	-0.19573	-0.69839	-0.59407
3.4789	-0.24376	-0.72182	-0.30629
3.5844	-0.25806	-0.7486	0.045556
3.6898	-0.2319	-0.77481	0.46148
3.7952	-0.15851	-0.79583	0.94133
3.9006	-0.035439	-0.80645	1.3674
4.0061	0.12429	-0.80202	1.6367
4.1115	0.30415	-0.77954	1.7493
4.2169	0.48762	-0.73776	1.7052
4.3223	0.65819	-0.67718	1.5044
4.4277	0.80063	-0.59999	1.1885
4.5332	0.90689	-0.50964	0.81865
4.6386	0.97136	-0.41024	0.39552
4.744	0.98841	-0.3065	-0.080911
4.8494	0.95243	-0.20371	-0.61065
4.9549	0.85944	-0.10771	-1.1319
5.0603	0.71939	-0.024152	-1.498
5.1657	0.54925	0.042909	-1.7028
5.2711	0.36603	0.091195	-1.7462
5.3766	0.18675	0.12022	-1.6282
5.482	0.027903	0.1313	-1.3721
5.5874	-0.10103	0.12716	-1.0673
5.6928	-0.19571	0.1112	-0.72225
5.7982	-0.25191	0.087248	-0.3371
5.9037	-0.26538	0.059587	0.088182
